Adj Datetime (Millis), Adj Datetime (Datetime), Millis, Type, Datetime, Count Rate (CPS), Count Rate Err (%), Dose Rate (μSv/hr), Dose Rate Err (%), Flags, Real Time Flags, 
2025-11-18 18:26:06.929000, 2025-11-18 18:28:08.880000, 6929, RealTimeData, 2021-01-01 00:02:08.880000, 6.888889, 25.1, 7.845052e-06, 69.2, 64, 0, 
2025-11-18 18:26:07.284000, 2025-11-18 18:28:09.380000, 7284, RealTimeData, 2021-01-01 00:02:09.380000, 6.8, 24.0, 7.451172e-06, 66.0, 64, 0, 
2025-11-18 18:26:07.312000, 2025-11-18 18:28:14.130000, 7312, RawData, 2021-01-01 00:02:14.130000, 4.0, , 9.765626e-07, , , 
2025-11-18 18:26:07.772000, 2025-11-18 18:28:09.880000, 7772, RealTimeData, 2021-01-01 00:02:09.880000, 7.090909, 22.4, 7.22656236e-06, 62.2, 64, 0, 
2025-11-18 18:26:08.211000, 2025-11-18 18:28:15.630000, 8211, RawData, 2021-01-01 00:02:15.630000, 10.0, , 6.83593768e-06, , , 
2025-11-18 18:26:08.758000, 2025-11-18 18:28:10.380000, 8758, RealTimeData, 2021-01-01 00:02:10.380000, 7.1666664, 21.3, 6.982422e-06, 59.2, 64, 0, 
2025-11-18 18:26:08.788000, 2025-11-18 18:28:16.130000, 8788, RawData, 2021-01-01 00:02:16.130000, 6.0, , 1.75781252e-06, , , 
2025-11-18 18:26:09.227000, 2025-11-18 18:28:16.630000, 9227, RawData, 2021-01-01 00:02:16.630000, 12.0, , 5.175781e-06, , , 
2025-11-18 18:26:09.767000, 2025-11-18 18:28:10.880000, 9767, RealTimeData, 2021-01-01 00:02:10.880000, 7.1538468, 20.5, 6.6594052e-06, 57.4, 64, 0, 
2025-11-18 18:26:09.798000, 2025-11-18 18:28:17.130000, 9798, RawData, 2021-01-01 00:02:17.130000, 2.0, , 3.90625e-07, , , 
2025-11-18 18:26:10.235000, 2025-11-18 18:28:17.630000, 10235, RawData, 2021-01-01 00:02:17.630000, 8.0, , 2.2460938e-06, , , 
2025-11-18 18:26:10.775000, 2025-11-18 18:28:11.380000, 10775, RealTimeData, 2021-01-01 00:02:11.380000, 7.0, 20.0, 6.2988284e-06, 56.4, 64, 0, 
2025-11-18 18:26:10.811000, 2025-11-18 18:28:18.130000, 10811, RawData, 2021-01-01 00:02:18.130000, 2.0, , 9.765626e-07, , , 
2025-11-18 18:26:11.248000, 2025-11-18 18:28:18.630000, 11248, RawData, 2021-01-01 00:02:18.630000, 6.0, , 1.4257813e-05, , , 
