6879; Event; 2021-01-01 00:02:04.270000; <EventId object at 2001c150>; 0; 64;
6958; Event; 2021-01-01 00:02:10.920000; <EventId object at 200216f0>; 0; 64;
6986; Event; 2021-01-01 00:02:04.270000; <EventId object at 20024a00>; 0; 4160;
7341; RareData; 2020-12-31 03:29:29.770000; 62027; 0.00074; 29.07; 71.54; 36928;
7375; DoseRateDB; 2020-12-31 03:29:03.380000; 571; 5.9479164; 8.36436e-06; 28.5; 36864;
7404; DoseRateDB; 2020-12-31 03:30:39.380000; 541; 5.6354164; 9.657796e-06; 27.9; 36864;
7434; RareData; 2020-12-31 03:32:29.770000; 62207; 0.000741; 29.41; 71.54; 36928;
7463; DoseRateDB; 2020-12-31 03:32:15.380000; 518; 5.3958336; 6.96360236e-06; 27.2; 36864;
7491; RareData; 2020-12-31 03:34:29.770000; 62327; 0.000741; 29.57; 71.54; 36928;
7520; DoseRateDB; 2020-12-31 03:33:51.380000; 547; 5.6979164; 9.1679896e-06; 27.0; 36864;
7553; RareData; 2020-12-31 03:36:29.770000; 62447; 0.000741; 29.67; 71.54; 36928;
7582; RareData; 2020-12-31 03:46:29.770000; 63047; 0.000743; 29.8; 71.4; 36928;
7611; RareData; 2020-12-31 04:00:29.770000; 63887; 0.000745; 29.91; 71.27; 36928;
7641; Event; 2020-12-31 04:00:45.360000; <EventId object at 2003a6f0>; 0; 36928;
67235; Event; 2021-01-01 00:03:14.780000; <EventId object at 20059b80>; 0; 4160;
118621; RareData; 2021-01-01 00:04:06.270000; 64024; 0.000745; 28.17; 71.14; 4160;
127148; Event; 2021-01-01 00:04:14.640000; <EventId object at 200661d0>; 0; 4160;
187232; Event; 2021-01-01 00:05:14.780000; <EventId object at 20073820>; 0; 4160;
220301; DoseRateDB; 2021-01-01 00:04:27.880000; 615; 6.40625; 7.29421e-06; 26.0; 4096;
238651; RareData; 2021-01-01 00:06:06.270000; 64144; 0.000746; 28.32; 71.14; 4160;
247373; Event; 2021-01-01 00:06:14.910000; <EventId object at 2001c110>; 0; 4160;
